industry,deal_value,weighted_amount,date_of_creation,pitch,lead_revenue,fund_category,geography,location,poc_name,designation,hiring_candidate_role,lead_source,level_of_meeting,last_lead_update,internal_poc,resource,internal_rating,success_probability
Associations,196713.0,1239291.9,2019-01-03,Product_1,500 Million - 1 Billion,Category 4,India,Bhatpara,preety,CEO,Dispensing optician,Marketing Event,Level 1,No track,"Meli,Teresa V",Yes,1,58.6
Beverages (Non-Alcoholic),271889.0,1685711.8,2019-01-03,Product_2,100 - 500 Million,Category 4,India,Nizamabad,smt vinod devi,CEO,Tree surgeon,Contact Email,Level 1,,"Vickers Jr.,Henry J",Yes,3,57.1
Construction Services,393530.0,2518592.0,2019-01-03,Product_2,100 - 500 Million,Category 1,India,Dhanbad,sona,CEO,Interpreter,Marketing Event,Level 1,No track,"Ullrich,Rose Anne",No,4,63.900000000000006
Financial Services,246064.0,1562506.4,2019-01-03,Product_2,100 - 500 Million,Category 4,USA,"Urban Honolulu, HI",Heather Erickson,SVP/General Counsel,"Optician, dispensing",Website,Level 1,2 days back,"Carter Sr,Clifton E",Yes,2,64.5
Insurance,437361.0,2558561.85,2019-01-03,Product_1,50 - 100 Million,Category 3,USA,"Cedar Rapids, IA",Monica Bryan,CEO,Farm manager,Contact Email,Level 1,more than a month,"Dimattia,Frank D",,4,64.1
Financial Services,103682.0,632460.2,2019-01-03,Product_1,500 Million - 1 Billion,Category 3,India,Silvassa,rukhsar,CEO,Audiological scientist,Marketing Event,Level 2,,"Gould,Lisa D",Yes,1,26.35
Technology Consulting,28240.0,182148.0,2019-01-03,Product_1,500 Million - 1 Billion,Category 3,USA,"Boston-Cambridge-Newton, MA-NH",Sherry Flores DVM,CEO,Information systems manager,Website,Level 2,No track,"Mabrey,Kevin C",Yes,5,70.4
Banks,322184.0,1916994.8,2019-01-03,Product_1,500 Million - 1 Billion,Category 2,,Dhanbad,ratni@jasoda,CEO,Civil Service fast streamer,Website,Level 1,No track,"Jones,Eyvette W",Yes,4,64.1
Healthcare Facilities/Services,130087.0,761008.95,2019-01-03,Product_1,50 - 100 Million,Category 3,USA,"Little Rock-North Little Rock-Conway, AR",Robin Hartman,CEO,Aid worker,Marketing Event,Level 1,?,"Jones,Michael L",No,1,64.2
Software Consulting,234582.0,1595157.6,2019-01-03,Product_2,50 - 100 Million,Category 4,India,Machilipatnam,pooja,CEO,Health service manager,Marketing Event,Level 3,Up-to-date,"Jones,Eyvette W",Yes,4,64.3
Movies,418359.0,2614743.75,2019-01-04,Product_1,50 - 100 Million,Category 4,USA,"San Diego-Carlsbad, CA",Patricia Murray,CEO,"Engineer, automotive",Contact Email,Level 2,?,"Hebron,Artenia D",No,2,62.1
Specialty,376704.0,2505081.6,2019-01-04,Product_2,500 Million - 1 Billion,Category 1,India,Chirala,mithlesh,CEO,"Teacher, English as a foreign language",Others,Level 3,5 days back,"Dunaway,Antoine",No,3,67.7
Real Estate,166238.0,930932.8,2019-01-04,Product_2,500 Million - 1 Billion,Category 2,India,Gangtok,kiran,CEO,Economist,Others,Level 1,More than a week back,"Vickers Jr.,Henry J",Yes,4,61.8
Apparel Retail,285316.0,1997212.0,2019-01-04,Product_2,500 Million - 1 Billion,Category 3,USA,"Auburn-Opelika, AL",Kelsey Goodman,SVP/General Counsel,Tour manager,Website,Level 3,more than a month,"Smith,Keenan H",Yes,5,76.1
Banks,369500.0,2180050.0,2019-01-04,Product_1,100 - 500 Million,Category 2,USA,"Ogden-Clearfield, UT",Nancy Jones,CEO,"Engineer, biomedical",Others,Level 1,No track,"Ross,Eric L",Yes,5,69.5
Banks,247088.0,1704907.2,2019-01-04,Product_1,500 Million - 1 Billion,Category 4,USA,"Montgomery, AL",Jonathan Ortiz,CEO,Emergency planning/management officer,Marketing Event,Level 1,5 days back,"Knox,Antonio D",Yes,5,70.9
Food Processing,96590.0,618176.0,2019-01-04,Product_2,100 - 500 Million,Category 3,USA,"Idaho Falls, ID",Mary Bailey,CEO,Accounting technician,Marketing Event,Level 2,No track,"Maine,John P",Yes,3,69.6
Furniture/Fixtures,306966.0,2164110.3,2019-01-04,Product_2,500 Million - 1 Billion,Category 1,USA,"Winston-Salem, NC",Christopher Thomas,CEO,Field seismologist,Others,Level 3,No track,"Young,Valerie K",Yes,5,76.8
Fabricated Products,193935.0,1328454.75,2019-01-04,Product_1,500 Million - 1 Billion,Category 1,USA,"Atlanta-Sandy Springs-Roswell, GA",Sandra Jordan,CEO,Exercise physiologist,Contact Email,Level 3,No track,"Charles,Caleb",No,2,70.2
Insurance,371112.0,,2019-01-04,Product_2,50 - 100 Million,Category 2,USA,"Burlington, NC",Wanda Torres,SVP/General Counsel,Land,Marketing Event,Level 1,,"Robinson,John C",Yes,1,65.7
Food Processing,209772.0,1384495.2,2019-01-05,Product_2,50 - 100 Million,Category 4,USA,"Columbus, IN",Jason Swanson,CEO,Hotel manager,Website,Level 1,,"Jones,Michael L",No,5,69.3
Health/Accident,408349.0,2756355.75,2019-01-05,Product_2,50 - 100 Million,Category 4,USA,"Green Bay, WI",James French,CEO,Politician's assistant,Website,Level 3,More than a week back,"Turner,Marlon D",Yes,2,68.4
Insurance,303494.0,1669217.0,2019-01-05,Product_1,500 Million - 1 Billion,Category 3,India,Aizawl  ,smt. jayoti  rawat,SVP/General Counsel,Adult guidance worker,Others,Level 1,No track,"Carter Sr,Clifton E",Yes,2,57.1
Medical Equipment,127637.0,791349.4,2019-01-05,Product_1,100 - 500 Million,Category 3,USA,Source: U.S. Bureau of Economic Analysis,Adam Cox,SVP/General Counsel,Fish farm manager,Marketing Event,Level 1,More than a week back,"Kiepea,Prince A",Yes,4,67.9
Sales/Marketing Software,102658.0,703207.3,2019-01-05,Product_1,500 Million - 1 Billion,Category 1,India,Silchar,nayna,CEO,Financial controller,Contact Email,Level 3,?,"Hameier,Kurt E",Yes,4,66.4
Banks,397694.0,2744088.6,2019-01-06,Product_1,100 - 500 Million,Category 1,India,Lucknow,vimala,SVP/General Counsel,Operations geologist,Website,Level 3,No track,"Davis,Brian R",No,4,68.6
Biotech/Healthcare,192962.0,1128827.7,2019-01-06,Product_1,50 - 100 Million,Category 4,India,Agartala,reshma,CEO,IT consultant,Others,Level 1,more than a month,"Young,Valerie K",Yes,4,57.900000000000006
Banks,158423.0,1005986.05,2019-01-06,Product_2,100 - 500 Million,Category 3,USA,"Waco, TX",Angela Murphy,CEO,Educational psychologist,Website,Level 1,No track,"Robinson,John C",No,5,70.3
Health/Accident,187481.0,1124886.0,2019-01-06,Product_2,100 - 500 Million,Category 3,India,Silvassa,meera,CEO,Accounting technician,Marketing Event,Level 2,No track,"Georgakopoulos,Vasilios T",No,1,26.35
Health/Accident,239889.0,1439334.0,2019-01-06,Product_1,100 - 500 Million,Category 4,,"Los Angeles-Long Beach-Anaheim, CA",Brooke Conway,CEO,Legal executive,Others,Level 1,more than a month,"Clavey,Therese A",No,1,62.2
Banks,407443.0,2628007.35,2019-01-06,Product_1,50 - 100 Million,Category 4,USA,"Crestview-Fort Walton Beach-Destin, FL",Diana Gutierrez,CEO,Computer games developer,Contact Email,Level 2,More than 2 weeks,"Pappas,Mark S",Yes,4,107.34
"Oil, Gas, Coal",,2227864.8,2019-01-06,Product_2,500 Million - 1 Billion,Category 2,,"Savannah, GA",Desiree Kim,CEO,"Programme researcher, broadcasting/film/video",Others,Level 1,More than a week back,"Green,Candy",No,2,26.35
Investment Bank/Brokerage,465964.0,2842380.4,2019-01-06,Product_1,500 Million - 1 Billion,Category 1,India,Gaya,hema mehta,SVP/General Counsel,Orthoptist,Others,Level 1,More than 2 weeks,"Tondeur,Keith D",No,4,63.3
Banks,460323.0,2646857.25,2019-01-06,Product_1,50 - 100 Million,Category 2,India,Fyzabad,anita devi,CEO,Publishing rights manager,Marketing Event,Level 1,2 days back,"Massiah,Gerard F",No,4,61.900000000000006
Other Consulting,231569.0,1528355.4,2019-01-06,Product_2,50 - 100 Million,Category 3,India,Jorapokhar,tamnna,CEO,"Programme researcher, broadcasting/film/video",Marketing Event,Level 3,more than a month,"Ullrich,Rose Anne",No,5,66.9
Healthcare Facilities/Services,450896.0,2637741.6,2019-01-06,Product_2,50 - 100 Million,Category 3,USA,"Chattanooga, TN-GA",Teresa Alvarado,CEO,"Lighting technician, broadcasting/film/video",Others,Level 2,?,"Mabrey,Kevin C",Yes,3,26.35
Insurance,148604.0,839612.6,2019-01-06,Product_1,50 - 100 Million,Category 3,India,Vizianagaram,rekha rani,CEO,"Producer, television/film/video",Marketing Event,Level 1,more than a month,"Tondeur,Keith D",No,1,57.2
Online Banking,173412.0,1144519.2,2019-01-06,Product_1,50 - 100 Million,Category 4,India,Bilaspur,manjula kumari,CEO,"Administrator, Civil Service",Contact Email,Level 3,Up-to-date,"Houston,Arnold E",No,4,61.0
Healthcare Facilities/Services,429876.0,2450293.2,2019-01-07,Product_1,50 - 100 Million,Category 2,India,Shimla,maigo,CEO,Investment analyst,Others,Level 3,No track,"Rocks,Michael J",Yes,1,61.1
Insurance,488400.0,2979240.0,2019-01-07,Product_1,500 Million - 1 Billion,Category 1,India,Gaya,incee,CEO,Actor,Others,Level 1,More than 2 weeks,"Clavey,Therese A",Yes,4,63.3
Insurance,55920.0,369072.0,2019-01-07,Product_1,500 Million - 1 Billion,Category 1,India,Puri,alisha,SVP/General Counsel,Tour manager,Marketing Event,Level 2,No track,"Dyson,William A",No,3,65.0
Banks,42521.0,276386.5,2019-01-07,Product_2,500 Million - 1 Billion,Category 1,India,Saidapur,poonam,SVP/General Counsel,Community development worker,Contact Email,Level 2,More than a week back,"Carter Sr,Clifton E",No,5,62.8
Software,384810.0,2462784.0,2019-01-07,Product_2,100 - 500 Million,Category 4,USA,"Greensboro-High Point, NC",Erik Williamson,SVP/General Counsel,Research scientist (physical sciences),Contact Email,Level 1,No track,"Tondeur,Keith D",Yes,3,64.1
Education/Training,270000.0,1849500.0,2019-01-08,Product_1,100 - 500 Million,Category 2,USA,"Harrisburg-Carlisle, PA",Jeremy Graham,CEO,Building services engineer,Marketing Event,Level 3,No track,"Dunaway,Antoine",Yes,5,75.9
Architecture/Engineering,196579.0,1199131.9,2019-01-08,Product_2,500 Million - 1 Billion,Category 1,USA,"Barnstable Town, MA",Brandon Aguilar,SVP/General Counsel,Theatre stage manager,Others,Level 1,2 days back,"Salyers,Daniel L",No,2,67.1
Industrial Equip,205848.0,1255672.8,2019-01-08,Product_2,500 Million - 1 Billion,Category 3,India,Hubli,km sweta jain,CEO,Clinical research associate,Contact Email,Level 1,?,"Kiepea,Prince A",No,5,61.1
BioTech/Drugs,187750.0,,2019-01-08,Product_2,100 - 500 Million,Category 4,India,Haora,archana mishra,CEO,Plant breeder/geneticist,Marketing Event,Level 1,No track,"Ryker,David",No,4,60.400000000000006
Insurance,476594.0,,2019-01-08,Product_1,100 - 500 Million,Category 3,,Madurai,nilesh,CEO,"Psychologist, prison and probation services",Website,Level 3,No track,"Dunaway,Antoine",Yes,3,107.34
Education/Training,343280.0,1991024.0,2019-01-08,Product_1,100 - 500 Million,Category 3,USA,"Seattle-Tacoma-Bellevue, WA",Joseph Thompson,CEO,Product/process development scientist,Contact Email,Level 1,No track,"Van Arter,Derrick",Yes,2,61.400000000000006
Apparel Retail,178955.0,1154259.75,2019-01-08,Product_2,500 Million - 1 Billion,Category 3,USA,"Greensboro-High Point, NC",Jasmine Smith,SVP/General Counsel,Health visitor,Website,Level 2,more than a month,"Hebron,Artenia D",No,4,71.3
Other Investment Firms,299710.0,1888173.0,2019-01-08,Product_1,500 Million - 1 Billion,Category 1,India,Jamshedpur,ritika rani dass,SVP/General Counsel,Fine artist,Others,Level 2,More than 2 weeks,"Kiepea,Prince A",Yes,3,65.0
"Oil, Gas, Coal",51629.0,353658.65,2019-01-08,Product_2,100 - 500 Million,Category 4,USA,"Modesto, CA",Joy Ferguson,SVP/General Counsel,Immigration officer,Contact Email,Level 3,No track,"Murray,Younetta",No,3,66.5
Automotive/Transportation,92486.0,619656.2,2019-01-08,Product_1,500 Million - 1 Billion,Category 1,India,Bakshpur,smt aruna ekka,CEO,Health and safety adviser,Contact Email,Level 2,No track,"Cash,Tyrone J",Yes,5,65.8
Consumer Products,465363.0,2838714.3,2019-01-08,Product_2,500 Million - 1 Billion,Category 4,India,Karur,sweety,CEO,Counselling psychologist,Others,Level 1,No track,"Hameier,Kurt E",No,3,59.8
Other,111377.0,690537.4,2019-01-09,Product_1,100 - 500 Million,Category 3,USA,"Baton Rouge, LA",Jacqueline Brewer,SVP/General Counsel,Ambulance person,Contact Email,Level 1,Up-to-date,"Massiah,Gerard F",Yes,5,66.7
Banks,407923.0,2467934.15,2019-01-09,Product_2,100 - 500 Million,Category 2,USA,"Fort Collins, CO",Jane King,CEO,Information systems manager,Others,Level 3,,"Maine,John P",No,2,68.6
Professional Services,51555.0,329952.0,2019-01-09,Product_2,500 Million - 1 Billion,Category 1,India,Karimnagar,anita,CEO,Brewing technologist,Contact Email,Level 2,More than a week back,"Logan,Kevin N",No,4,61.7
Other Investment Firms,333185.0,2382272.75,2019-01-09,Product_1,100 - 500 Million,Category 1,USA,"Kingsport-Bristol-Bristol, TN-VA",Susan Nichols,SVP/General Counsel,Arts administrator,Contact Email,Level 3,more than a month,"Booker,David L",,5,74.1
Banks,53222.0,335298.6,2019-01-09,Product_2,100 - 500 Million,Category 1,,"Urban Honolulu, HI",Miranda Jimenez,CEO,Chemical engineer,Others,Level 2,5 days back,"Van Arter,Derrick",Yes,3,68.6
Multimedia Software,148915.0,990284.75,2019-01-09,Product_1,50 - 100 Million,Category 2,USA,"Hattiesburg, MS",Lindsey Smith,CEO,"Teacher, music",Website,Level 3,5 days back,"Massiah,Gerard F",Yes,5,75.7
Professional Services,82187.0,,2019-01-09,Product_2,500 Million - 1 Billion,Category 1,India,Surat,smt. nena devi,CEO,Marketing executive,Website,Level 1,2 days back,"Anthony,Katherine D",Yes,2,62.400000000000006
Banks,33859.0,198075.15,2019-01-09,Product_1,50 - 100 Million,Category 4,USA,"San Jose-Sunnyvale-Santa Clara, CA",Mary Williams,SVP/General Counsel,Commercial horticulturist,Contact Email,Level 1,More than 2 weeks,"Thomas,Lori E",No,2,57.400000000000006
Banks,44739.0,,2019-01-09,Product_1,500 Million - 1 Billion,Category 2,India,Firozabad,sivani,CEO,Systems developer,Marketing Event,Level 2,more than a month,"Hebron,Artenia D",Yes,3,62.5
Home Improvement,149743.0,1033226.7,2019-01-09,Product_1,500 Million - 1 Billion,Category 1,USA,"Chattanooga, TN-GA",Shane Farmer,CEO,Horticultural therapist,Marketing Event,Level 1,No track,"Maine,John P",No,5,74.4
Financial Services,54626.0,330487.3,2019-01-09,Product_1,50 - 100 Million,Category 2,India,Dindigul,satyapal,CEO,Investment analyst,Marketing Event,Level 2,2 days back,"Hebron,Artenia D",No,5,63.7
Other,89076.0,534456.0,2019-01-10,Product_2,500 Million - 1 Billion,Category 2,India,Latur,pinky,CEO,Intelligence analyst,Marketing Event,Level 2,No track,"Ryker,David",No,2,62.3
Office Supplies,15800.0,97960.0,2019-01-10,Product_1,500 Million - 1 Billion,Category 3,India,Rajkot,divya,CEO,"Engineer, site",Website,Level 3,No track,"Dyson,William A",No,1,60.8
Banks,198836.0,1391852.0,2019-01-10,Product_2,50 - 100 Million,Category 1,USA,"Portland-South Portland, ME",Kevin Collins,CEO,Arts development officer,Marketing Event,Level 3,No track,"Kiepea,Prince A",Yes,4,74.8
Semiconductors,434533.0,2607198.0,2019-01-10,Product_2,100 - 500 Million,Category 3,USA,"Gainesville, FL",Grace Gates,SVP/General Counsel,"Nurse, adult",Marketing Event,Level 1,No track,"Knox,Antonio D",Yes,2,64.7
Health/Accident,144240.0,944772.0,2019-01-10,Product_2,50 - 100 Million,Category 1,India,Akola,ram pyari,SVP/General Counsel,Systems analyst,Website,Level 3,No track,"Ross,Eric L",No,2,64.9
Banks,196584.0,1179504.0,2019-01-10,Product_2,100 - 500 Million,Category 3,USA,"Hinesville, GA",Christopher Phillips,CEO,Toxicologist,Marketing Event,Level 1,,"Morsy,Omar A",No,2,64.7
Plastic/Rubber,26907.0,161442.0,2019-01-10,Product_1,100 - 500 Million,Category 1,,Proddatur,shama,CEO,Chemical engineer,Others,Level 2,No track,"Pappas,Mark S",No,3,60.6
Online Banking,221958.0,1398335.4,2019-01-10,Product_2,500 Million - 1 Billion,Category 1,India,Panchkula,bindu devi mehra,SVP/General Counsel,Television production assistant,Contact Email,Level 2,No track,"Cashin,Marc C",No,2,60.5
Investment Bank/Brokerage,212389.0,1221236.75,2019-01-10,Product_2,50 - 100 Million,Category 2,USA,"Phoenix-Mesa-Scottsdale, AZ",Jonathan Burnett,CEO,Secondary school teacher,Contact Email,Level 1,No track,"Georgakopoulos,Vasilios T",Yes,3,65.6
Lending/Mortgage,55991.0,361141.95,2019-01-10,Product_2,100 - 500 Million,Category 4,,"Santa Rosa, CA",Ronald Smith,CEO,Hydrologist,Website,Level 2,?,"Van Arter,Derrick",Yes,2,64.2
Food Processing,410369.0,2544287.8,2019-01-10,Product_1,100 - 500 Million,Category 3,USA,"Watertown-Fort Drum, NY",Luis Young,CEO,Fitness centre manager,Marketing Event,Level 2,No track,"Georgakopoulos,Vasilios T",No,2,66.4
Financial Services,43425.0,277920.0,2019-01-11,Product_2,50 - 100 Million,Category 1,USA,"Portland-South Portland, ME",Erik Morales,CEO,"Designer, multimedia",Website,Level 2,No track,"Heidelberg,Andre D",Yes,3,69.4
Sales/Marketing Services,409547.0,2641578.15,2019-01-11,Product_1,500 Million - 1 Billion,Category 3,India,Porbandar,vandna @ krishma,CEO,Quality manager,Marketing Event,Level 3,Up-to-date,"Gilley,Janine",Yes,2,63.5
Architecture/Engineering,115954.0,,2019-01-11,Product_1,500 Million - 1 Billion,Category 1,USA,"Seattle-Tacoma-Bellevue, WA",Paula Garrett,SVP/General Counsel,Arboriculturist,Marketing Event,Level 1,,"Dunaway,Antoine",Yes,2,69.1
Recreational Services,384132.0,,2019-01-11,Product_1,100 - 500 Million,Category 2,,Panaji,seema devi,CEO,Magazine features editor,Website,Level 3,No track,"Robinson,John C",No,3,67.1
Banks,75079.0,491767.45,2019-01-11,Product_1,100 - 500 Million,Category 4,USA,"Kankakee, IL",William Fitzpatrick,CEO,Clinical embryologist,Website,Level 2,5 days back,"Robinson,John C",Yes,1,66.2
Financial Services,369105.0,2343816.75,2019-01-11,Product_1,100 - 500 Million,Category 1,India,Imphal,dhapu,SVP/General Counsel,"Conservator, museum/gallery",Others,Level 3,,"Dimattia,Frank D",No,1,63.1
Financial Services,85406.0,580760.8,2019-01-11,Product_2,500 Million - 1 Billion,Category 4,India,Jhansi,kavita,SVP/General Counsel,Aid worker,Website,Level 3,No track,"Clavey,Therese A",Yes,2,63.3
Software Consulting,228086.0,1414133.2,2019-01-11,Product_2,100 - 500 Million,Category 1,India,Tiruvannamalai,neelam,CEO,Town planner,Others,Level 2,No track,"Abdul-Hamid,Saud Muhamad",No,4,63.6
Energy,337349.0,2310840.65,2019-01-11,Product_2,500 Million - 1 Billion,Category 1,USA,"Austin-Round Rock, TX",Monique Cook,SVP/General Counsel,Geochemist,Contact Email,Level 3,Up-to-date,"Vickers Jr.,Henry J",No,2,70.2
Other,92517.0,573605.4,2019-01-11,Product_2,500 Million - 1 Billion,Category 2,USA,"Jackson, TN",Alexander Graham,CEO,Trade union research officer,Others,Level 2,No track,"Gilley,Janine",Yes,5,72.6
Insurance,494017.0,2964102.0,2019-01-11,Product_1,50 - 100 Million,Category 3,India,Sirsa,raziya,CEO,Biomedical scientist,Website,Level 2,No track,"Jones,Eyvette W",Yes,3,62.400000000000006
Medical Equipment,158573.0,1062439.1,2019-01-12,Product_2,500 Million - 1 Billion,Category 4,USA,"Sebring, FL",Michael Holt DDS,CEO,Data scientist,Marketing Event,Level 1,?,"Hameier,Kurt E",No,3,68.8
Healthcare Facilities/Services,274597.0,,2019-01-12,Product_2,500 Million - 1 Billion,Category 2,,Kurnool,khusbu regar,CEO,Herbalist,Contact Email,Level 3,Up-to-date,"Green,Ann E",Yes,3,64.9
Real Estate,57099.0,,2019-01-12,Product_1,100 - 500 Million,Category 3,India,Nalgonda,ramba @ kamla,CEO,Advertising account executive,Others,Level 3,?,"Featherstone,Adrian R",No,1,58.1
Banks,63427.0,396418.75,2019-01-12,Product_2,100 - 500 Million,Category 3,USA,,Elizabeth House,CEO,Information officer,Website,Level 2,More than a week back,"Davis,Sharrice A",Yes,3,67.9
"Oil, Gas, Coal",298761.0,1882194.3,2019-01-12,Product_1,500 Million - 1 Billion,Category 1,India,Rampura,savita,CEO,Ceramics designer,Contact Email,Level 1,More than 2 weeks,"Meli,Teresa V",No,3,62.0
Non-Profit,217965.0,1351383.0,2019-01-12,Product_1,50 - 100 Million,Category 1,India,Haripur,nirma,SVP/General Counsel,Set designer,Others,Level 3,No track,"Morsy,Omar A",Yes,2,62.6
Real Estate,374847.0,2249082.0,2019-01-13,Product_1,100 - 500 Million,Category 3,USA,"Tampa-St. Petersburg-Clearwater, FL",Christian Daniels,CEO,Water engineer,Contact Email,Level 1,Up-to-date,"Irizarry,Yolanda",Yes,3,64.6
Financial Services,,799571.2,2019-01-13,Product_1,100 - 500 Million,Category 1,USA,"Springfield, MO",Corey Lewis,SVP/General Counsel,"Doctor, hospital",Marketing Event,Level 2,No track,"Murray,Younetta",Yes,3,72.6
Apparel Retail,235534.0,1413204.0,2019-01-13,Product_1,100 - 500 Million,Category 3,USA,"Palm Bay-Melbourne-Titusville, FL",Gabriel Baldwin,SVP/General Counsel,Archivist,Others,Level 2,5 days back,"Kiepea,Prince A",No,3,67.6
Semiconductors,188348.0,,2019-01-13,Product_1,500 Million - 1 Billion,Category 3,USA,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",William Brown,CEO,Records manager,Marketing Event,Level 3,No track,"Houston,Arnold E",Yes,1,70.5
Service Providers,252717.0,1630024.65,2019-01-13,Product_1,50 - 100 Million,Category 4,USA,"Tulsa, OK",Dennis Hubbard,CEO,Writer,Contact Email,Level 2,,"Murray,Younetta",No,3,65.3
Financial Services,397773.0,2585524.5,2019-01-13,Product_1,500 Million - 1 Billion,Category 3,,"Flint, MI",Mary Smith,CEO,"Designer, textile",Contact Email,Level 2,,"McKenstry,Loretta A",Yes,5,8.0
Banks,423574.0,2816767.1,2019-01-13,Product_2,500 Million - 1 Billion,Category 1,India,Bhilwara,smt. champa devi,CEO,Mechanical engineer,Contact Email,Level 3,Up-to-date,"Salyers,Daniel L",No,2,63.2
Hospitals/Clinics,44241.0,318535.2,2019-01-13,Product_1,500 Million - 1 Billion,Category 4,USA,"Harrisburg-Carlisle, PA",Amanda Martin,CEO,"Teacher, adult education",Website,Level 3,More than a week back,"Maine,John P",No,5,72.6
Banks,164519.0,929532.35,2019-01-13,Product_2,50 - 100 Million,Category 4,India,Tezpur,priyanka lohiya,SVP/General Counsel,Industrial buyer,Others,Level 1,No track,"Smith,Keenan H",Yes,1,54.7
"Oil, Gas, Coal",158595.0,1038797.25,2019-01-14,Product_1,100 - 500 Million,Category 4,India,Bikaner,sukhpreeet kour,CEO,"Scientist, product/process development",Contact Email,Level 3,No track,"Featherstone,Adrian R",Yes,2,58.3
Other,202365.0,1264781.25,2019-01-14,Product_2,100 - 500 Million,Category 2,India,Khanapur,disha,CEO,"Engineer, drilling",Website,Level 2,No track,"Jones,Eyvette W",No,5,66.5
